question,answer,followUp,Grammar,Relevance
Explain how would you be an asset to this organisation?,I'm an M.Tech student who is an allrounder. I specialise in Electronic System Design. Since this organisation builds electronic components I will be able to contribute to the growth of the organisation. I also have good interpersonal skills and I'm a team player. This will help interact with people well and meet the deadlines for projects. All these qualities helped me achieve a lot of awards in my career and I would like to continue the same in this organization.   ,what can a person do with people who do not do with people ?,3,1
"If you could learn some new skill, what would that be?","I was always interested in learning music or any musical instruments.
I enjoy listening to music so I would like to experience how it feels like making music and make others enjoy my music. 
For starters, I would like to improve my whistling skills. I would want to whistle a complete song.
In long run, I might take up learning guitar or flute. Music has always been a stress-buster for me. Learning a musical instrument has been there in bucket list for a long time.  ",what did you do to music ?,3,1
"Are you an organised or a disorganised person, in what ways?","I think most of the time I am an organized person as I set goals for myself and ensure to complete them within stipulated time. I manage my time by making targets for myself and setting up deadlines and make sure to review my work on daily basis. I balance my schedule between academics, physical activities and social activities. Along with my career and academics, I pay proper attention towards my health  and family.",Can you balance the schedule between academics and social exercises?,3,2
"Have you worked with someone unprofessional, how did you handle it?",I have once worked with a mentor who was really unprofessional. It was as a part of my summer internship. He was abusive to say the least. The words he would speak cannot be told. I had a very bad time in that company. I ultimately quit the company though they were paying me very high amount of money because I have always believed in self respect coming first and later money. I am happy I chose to quit that company. I did not want to complaint it to the HR because I felt may be it just happened with me and looked at it in the positive way. His words gave me motivation later and I got another nice internship opportunity which I thoroughly enjoyed.,what did you do at it 's time ?,1,1
How did you handle meeting a tight deadline?,i generally don't postpone my work till the deadline. I am conscious enough and plan everything in advance and manage the things to avoid any last minute tensions. ,Do you have to plan to manage the last last minute tensions,1,2
What are the strategies you think one should have to perform well in such an interview?,In an interview one must have to be confident and fell like he talks to a person not to a system . So that  he gets the feel  of real communication and he can make his point clearly to the system.,what must a person do to a system ?,3,2
How will you perform under pressure? Will it affect your performance?,First of all I will not allow things to go so wrong so as to create some sort of pressure. Now if the pressure starts to build up then I will make use of my time to the best of the ability  to handle this pressure. Yes it will affect some  my performance but not very much.,what starts to build up then you will make your time ?,3,1
How would you convince your client with your ideas?,I will explain him about my idea and its applications in all possible ways till he gets convinced. Also I would like to show some pictorial presentations instead of explaining in words. This can make him connect to my ideas. I will explain by starting with the problem and how my idea can solve it. ,what did you believe he will explain him ?,1,2
Would you rather be liked or respected?,"I would LIKE to be RESPECTED by people genuinely. Every person would like to have a minimum respect in the society. But, I would like to be LIKED by people as well, because the respect I get would be fake. So, I would like LIKE and RESPECT to go hand in hand.",what would be fake ?,3,3
"If you could learn some new skill, what would that be?",I would love to learn Computer graphics as new skill.As I am very curious about it as I have never learned any graphics related course. ,what did you do with computer graphics ?,2,3
Are you a risk taker or do you stay away from risk?,I like to think about the situation and at times I do decide to do something that's risky whereas at other times I play safe.,Is this safe to use at all times?,3,3
Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.",what was the focus of the project ?,3,3
Have you ever had to sell an idea to your co-workers? How did you do it?,"The biggest problem with our species is that rationality takes a back seat when emotions come into the picture. Emotions, I'd say, are our greatest strength and weakness. The thing that binds us together and makes us empathetic, is the same thing that makes us gullible and drives us to make irrational decisions. 
Back in the my undergraduate days, we had to raise funds for our college tech fest. It was decided that we would go from shop to shop in one of the busiest lanes of the commercial street to amass money for our technical fest. We soon found that people were neither motivated nor inclined to donate money for our cause. It was a tough and necessary realisation. We went back to our drawing boards. We had to come up with a plan. We had to identify with the people, connect with them, conjure up in their minds ideas and images that would aid our cause. School, education and children. These words conjured up old forgotten memories in the young guys and thoughts of grandchildren in the old men(They were our target demographic. The typical shop-owner, between the age of 35 - 60). And that is when the appeal of emotions struck us. As part of the events that were planned, we included a state level quiz for school students. This would later turn out to be our silver bullet. 
From then on out, we approached prospective benefactors not with a view to support our tech fest, but with a plea to help us host the state level Quiz, which in turn was part of the whole fest. The response was beyond what we had expected. People were more than willing to donate and even sponsor the event and the tech fest when we talked about school children and education. 
Appeals to emotion seldom go unanswered. ",what was one of the events that were planned for school ?,2,2
Can you describe a situation in which you made a decision and it was a failure ? ,We had to come up with a idea for a project last semester. I think I tried to force my opinion on my team mates. I wanted them to follow my approach and that didn't turn out well. I realised that I was being very controlling over them and then I gave up. I opened my mind to their suggestions and we came up with a plan together.,what did bell move your mind to ?,2,1
What is the difference between confidence and over-confidence?,"Confidence is one which lets a person break his inhibitions and attain great success . However , overconfidence is a trait which when persued makes a person arrogant and blind to the others ideas and respect. ",what is overconfidence ?,3,3
Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,what is below below me in the organization ?,1,2
How would you convince your client with your ideas?,I will explain him about my idea and its applications in all possible ways till he gets convinced. Also I would like to show some pictorial presentations instead of explaining in words. This can make him connect to my ideas. I will explain by starting with the problem and how my idea can solve it. ,what did you believe he will explain him ?,3,3
How would you be an asset to this organisation?  ,"I might be an asset because I put in my best to any work I take up. I am not shy of speaking my mind when necessary take it well when any positive criticism is directed at me. I would not say that I know everything and I am always keen to learn more. I think this job will help me to learn more and therefore, I am looking forward to it. ",Does anyone know if this would be good for a beginner?,3,1
Why should you be hired from outside when someone could be promoted within the same organisation?,The person who is already within the organization is knowing the organization better and is a valuable resource. But if I get a chance I will definitely be putting more efforts to make the position successful in terms my efforts and proving my capabilities.,What is the difference between person and valuable resource,2,3
How would you be an asset to this organisation?  ,I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's  growth through my small efforts will be my ultimate goal. ,what do you do to proper utilisation ?,2,3
Describe a decision you made that was a failure. What happened and why?,"The decision to really take it light at some crucial stages of my life, led to failure. For instance, my IIT-JEE exam. There is no excuse for it. The fault was me, my inability to adapt to the changes happening in the situations all around me.",what did the fault adapt to ?,3,2
What are the strategies you think one should have to perform well in such an interview?,"I do not believe in strategies. Interviews are meant to be honest! The interviewer should know who you really are, what your passions and strengths really are. It's about finding your true niche in the company. It's better to be honest and clear. If you can't explain well, take a bit longer and put some effort to maintain clarity. Maintain eye-contact and engage the other person. Finally be confident and live every moment of it. You have earned the interview, be confident and smile.",what does it mean to do in the company ?,2,2
"If you could relive the last 10 years of your life, what would you do differently?","If I could relive the last 10 years of my life, I would instead of focusing just on my academics, I would also like to give time to other things which I didn't. I was a good football player in my childhood and now a days I feel I should have continued playing football. I am also a good swimmer. I would like to to better in sports. Also I think I would spend more time making moments with my family and friends which I would remember for my life. As far as academics is concerned, I would like to practically do what i am learning theoretically. In my B.Tech. I studied a lot by later in my graduation I realized that I lack practical implementations. While I was working in SAP, I felt my practical knowledge could have been better and since then I am more focused on practical implementations rather than just theory.",what did you have more focused on ?,2,3
Why should I hire you?,I think that I am a capable person and I can prove it to you if you test me in it.,Would this be a good choice for a capable person to test with?,2,2
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",How long does it take to deliver the project,3,1
What are the strategies you think one should have to perform well in such an interview?,In an interview one must have to be confident and fell like he talks to a person not to a system . So that  he gets the feel  of real communication and he can make his point clearly to the system.,what must a person do to a system ?,3,2
What are your views about further studies?,I am not interested in further studies. I like doing projects and therefore i like to do a job. I have done Masters so i know how to tackle problems. I would like to work in the industry rather than going for further studies.,how do you tackle the problems,3,3
How would you be an asset to this organisation? ,I have a good coding skills in python. So I can code with the  minimal expense of memory and algorithicm time. So that is a perk of employing me. ,what type of memory can one expect ?,2,2
Do you consider yourself lucky?,I believe in the adage 'luck favours the brave'. You should be brave enough to make your own choices whilst knowing their consequences and brave enough to remain standing firm when the consequences of your choice come to hit you. ,what is you enough to make your own choices ?,1,2
Are you a risk taker or do you stay away from risk?,"Yes I am a risk taker. In fact I belong from small town, so to do anything out of the box I took risk throughout my life. I organised several workshops in my carrier considering that high risk is involved.                 ",Is this high risk involved to organised,2,2
Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,what has your work done ?,1,1
What strategies would you use to motivate your team?,"Frankly speaking, I love strategic management ! IF i summarize my thoughts into points in chronological order, they would look like this.



1) Create personal interest. cause i believe that no matter what you do, if he/she aren't interested, even almighty can't do anything !

2) Be a listener. Many people try imposing their ideas and never care what others have to say.

3) present your experiences, talk with them personally and bloom this bud of confidence in them.   ",what is the strategic management management,1,2
Describe a time when your workload was heavy and how you handled it.,"During my mtech course, I was very much over occupied with my subjects and projects that I took as open electives. Initially, I thought they are very good and I will be learning a lot through these. As time passed, I found myself relentlessly anguished with the amount of the work that was needed to be done. I have never been so much trapped in the work before. Hence, I didn't find any solution of how to start with. But then I used to see my other mates on how they manage their day , maintaining schedule and following it. Maybe it was a feeling of competition that pushed me to divide time for e",what did you want to do to start how much of how to start how much of his life ?,1,2
Do you consider yourself successful? Why?,Partially. Have a lot of things that I haven't achieved yet.,how do you feel that you have n't achieved ?,2,2
What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.

1.Patience. (I have a lot of patience.)

2.Less ego.(Too less.) 

3.Acting silly in few situations.

4.Not thinking twice before doing few things.

5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)

6.Getting too excited for small things.",what is an example of a method used to do ?,2,2
Are you a risk taker or do you stay away from risk?,It depends on situation. If I feel that I am interested in some work and it involves risk in it then I would definitely take the risk and go ahead with the work. But if the work or task doesnot interest me then I would probably not take the risk involved in it. Sometimes if I feel that the work will help me to explore something very new and rare thing then I would take the risk.,what do you think you would definitely take ahead ?,3,3
How do you feel about working under a person who is younger to you?,"I feel great about that. I appreciate his/her hard work and intelligence for having them reached to a senior position at an young age. I will surely take good from that young person, collaborate and learn things.",what kind of work did you neumann appreciate ?,2,1
What is the biggest challenge you have faced so far?,The biggest challenge I have faced so far is to not worry about things I can't change/ do anything about.,what is the main reason that you ca n't worry about things ?,3,3
In what ways are you an organised or disorganised person?,"I am a totally disorganised person the result of which I, at times, fail to live up to my abilities and expectations. I don't organise things very well. Though, in some cases, I am pretty good at organising like thinking of what to do with a particular thing or person but for that, a lot of time has to be spent. ",how well does it work on well,2,2
What are your views about further studies?,"I am pursuing M.Tech. I opted for this because I felt the need to fill in the technical gaps, to understand how an Industry works and what Industry expects from graduated like myself. As now I feel my requirements are met. I don't have any motivation for studying further, as of now. In future, may be.",How good is the durability?,3,1
Tell me about a time you took the lead in a team project. What was the project outcome?,I was leading a couple of people when I was organising an event. Basically there's was a prize money for the best event. I led the whole team. I worked with the juniors and did work along with them apart from leading them. That made them work harder as besides being a senior I was doing their work. Helping them out when they were tired. That eventually acted as  the motivation for the whole team. Finally we won the event.,what was the purpose of a senior you ?,2,2
What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'",Can this be used to learn on society,3,3
Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.",what is a workload workload ?,2,2
Do you consider yourself successful? Why?,"Yes, i am a hard working person and i like to learn and lot for my personal growth",Is this good for a hard working person?,3,2
What are the qualities that you seek in your manager?,I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works. ,Is there any understanding if this would work with hearing aid and understanding the various approaches,2,2
What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.",Do you have any short term goals goals,2,3
How much do you value time at work?,"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.",what is essential to success ?,3,3
