Answer,Extracted Keywords,Followup Question
"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50 weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",non cooperative team members four credit course recent difficult situation take home exam take matters work hard teammates refused stay back open book good grade felt homesick best without best friends 50 weightage exam difficult write us upset two three teammate successful stressed one managed made initially however holidays hands groups faced end decided counted complete compartmentalize attempt ,Do you know why?
"It was a project where the estimations of efforts and analysis of change done by the person was wrong and I was incharge of development of that product. I found out a way to convince my onsite counter part to buy a small amount of time as much as he can, and pallnned to break down the problems in small deliverables which would be given to client one by one. So that we will get more time to develop and the deliverables also doesn't get delayed. Because even if the requirement is delivered at once, tester will verify one by one so why not deliver in pieces. Was awarded by my leads for handling this.",onsite counter part small deliverables small amount deliverables also change done verify one client one get delayed one get wrong would way time tester requirement project product problems pieces person pallnned much leads incharge handling given found even estimations efforts development develop delivered deliver convince buy break awarded analysis ,Do you think it's possible for someone else to create a task for you to do?
I will try to give my 100 for this job. I will use this opportunity to learn things and make use of it to provide best results for this company. I will try to be friendly with everyone and motivate them to work together to complete the task given to the team.,provide best results work together task given learn things make use use try team opportunity motivate job give friendly everyone complete company 100 ,Do you want to do something that will be fun for both of us?
If i love my work then i will not mind working overtime and once it gets over i'll be satisfied with myself. This'll increase my confidence also with dealing with deadlines and will help me in improving my skills. And if i get tired i can always ask for a leave but eventually things will get completed with no due.,mind working overtime get tired get completed eventually things confidence also always ask work skills satisfied love leave increase improving help gets due dealing deadlines ,What about your friends?
"Once, in a group of four, a person wasn't contributing up to the mark for some project. The remaining three of us talked casually to that person saying that every has a lot to do and that we cannot finish the project if you are not doing your best. At first, that person became defensive saying that that person is doing the same amount of work as anyone else. On further friendly discussion, the person agreed to put in more effort.",person became defensive saying us talked casually person saying person agreed remaining three friendly discussion cannot finish anyone else person work put project mark lot group four first every effort contributing best amount ,Do you think that this person is a good person?
"Yes, I am. Before I start working on something or when I start studying something I just recall the eventual purpose of it when is my personal goal. So, when that goal flashes in my mind I get boosted like anything. I have set-up high goals in my life. My life mantra would is never settle, wondering what that means? According to me, only 'MUD' settles in the bottom.",get boosted like anything life mantra would start studying something start working personal goal never settle high goals goal flashes eventual purpose something life yes wondering settles set recall mud mind means bottom according ,Do you enjoy the company of people?
I want to be a good programmer and also i want to be best fifa player.,best fifa player good programmer want also ,How did you get into the game development?
"Yes I am a risk taker. In fact I belong from small town, so to do anything out of the box I took risk throughout my life. I organised several workshops in my carrier considering that high risk is involved.",organised several workshops took risk throughout risk taker high risk small town carrier considering yes life involved fact box belong anything ,Do you know of any risk takers?
"Once upon a time a friend of mine was giving me advice on some personal problem. I thought at that time that she was interfering unnecessarily in my life and she told me continously not to do what I am doing so,I stopped talking to her. But at later stage of my life i realised that she was correct and I misjudged her completely.",stopped talking personal problem later stage interfering unnecessarily upon told time thought realised misjudged mine life giving friend correct continously completely advice ,Are you willing to give him back his money?
"Once upon a time a friend of mine was giving me advice on some personal problem. I thought at that time that she was interfering unnecessarily in my life and she told me continously not to do what I am doing so,I stopped talking to her. But at later stage of my life i realised that she was correct and I misjudged her completely.",stopped talking personal problem later stage interfering unnecessarily upon told time thought realised misjudged mine life giving friend correct continously completely advice ,Are you willing to give him back his money?
"Hard work is like putting the efforts, resources and time totally to achieve the desired results. Smart work is putting the efforts to utilize the time and resources efficiently to achieve the results with a sense of contentment. Smart work also ensures less mental and physical pressure.",smart work also ensures less mental smart work hard work physical pressure time totally resources efficiently like putting desired results time results resources putting utilize sense efforts contentment achieve ,Why ?
I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's growth through my small efforts will be my ultimate goal.,assure proper utilisation ultimate goal small efforts fruitful effort assure time skills side organisation growth ,How would you be an asset to this organisation?
"I am a little lazy at some things, but when I feel like doing something or I am given a responsibility to do something, I do not let my laziness come in my way. Also, I have tasks that I need to do on a particular day planned by the time the day begins. So, at times I am a disorganized person and at times I am an organized person.",particular day planned day begins organized person little lazy laziness come feel like disorganized person way times time things tasks something responsibility need let given also ,Are you an organised person or are you a disorganized person?
"well in easy words, confidence is a believe in our own capabilities in respect to certain job and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",whereas overconfidence one else easy words certain job job well respect confidence capabilities believe assured '. ,Are you confident enough to take on the challenges that lie ahead?
"Being a student from IIITB, I possess great skills to solving a different variety of problems. Coming from research background, I look into every aspect of the problem being solved to make it an easy job.",possess great skills research background every aspect easy job different variety student solving solved problems problem make look iiitb coming ,"Are you an engineer, researcher, or scientist?"
Confidence is something that build faith in ourselves after doing required work at a same time we are not ignoring others capabilities and knowledge. Overconfidence is something that comes because of our ego.Believing in self without doing required work.Consciously or unconsciously we are ignoring capabilities of our compititors,ignoring others capabilities ignoring capabilities self without required work build faith unconsciously time something overconfidence knowledge ego consciously confidence compititors comes believing ,Why ?
I never loved taking risks I always wanted things to be straight forward but as the time has passed I have learnt to take risks and believe me I have taken a few very serious risks and one of them is dropping IIT Kharagpur and joining IIIT Bengaluru. I don't know how many people find this decision of dropping IIT a risk but trust me once you are in IIT then leaving it is really very difficult.,never loved taking risks many people find joining iiit bengaluru always wanted things dropping iit kharagpur take risks serious risks dropping iit straight forward iit trust time taken risk really passed one leaving learnt know difficult decision believe ,Why ?
"I had to, when we were brainstorming ideas for a hacking session. I first tried to understand their concerns and requirements. Later I pitched my idea in accordance to that. I ensured that I understood and answered all their queries.",hacking session first tried brainstorming ideas understood understand requirements queries pitched later idea ensured concerns answered accordance ,Why ?
"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",enjoying every bit classical dance form time management read blogs professional interests life hacks also like dance productivity personally music learning kathak interested currently ,What is your code standards?
I am very much optimistic. I take the things in positive way. I like to do new things. Because of all this I feel I am able to handle difficult situations without panic.,handle difficult situations without panic positive way much optimistic new things things take like feel able ,Where you can't be afraid of anything.
When I was deputed to chennai I was in office for 48 hours to meet customer requirement and finaly customer got happy with my efforts .,finaly customer got happy meet customer requirement 48 hours office efforts deputed chennai ,Where were you at the time?
"Managing an activity at office which was done in production , for the very first time, Independently.",first time production office managing independently done activity ,Do you know how much time you have left?
"I would consider myself a risk taker. I take challenges head on and as a human, taking risk is like challenges, it feels nice when the risk pays off.",take challenges head like challenges would consider taking risk risk taker risk pays feels nice human ,"Where I'm from, we don't have the same culture of risk-taking that we do in other"
"well in easy words, confidence is a believe in our own capabilities in respect to certain job and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",whereas overconfidence one else easy words certain job job well respect confidence capabilities believe assured '. ,Are you confident enough to take on the challenges that lie ahead?
"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",enjoying every bit classical dance form time management read blogs professional interests life hacks also like dance productivity personally music learning kathak interested currently ,What is your code standards?
I like to explore mythology in the country. I like workouts and exploring different cuisines. I like solving different problems in math and science. I like exploring astronomy.,like solving different problems exploring different cuisines like exploring astronomy like workouts explore mythology like science math country ,Do you think there's something to be learned from the world's greatest scientists?
Partially. Have a lot of things that I haven't achieved yet.,achieved yet things partially lot ,What are your goals?
"I was captain while I was at school and one day, along with a group of friends, I bunked Science class. Our teacher knew that we had bunked but she didn't know I was there too. So next class when she punished the rest, I owned up, on my own. She was surprised and told me that technically I had to lose my captaincy but since I was being honest when I could have easily gotten away, I get to keep it.",easily gotten away bunked science class next class teacher knew one day bunked told technically surprised since school rest punished owned lose know keep honest group get friends could captaincy captain along ,"Where I'm from, we don't do this."
"If my colleague is not performing as per the work given to him i will try to convince him to work on it with interest and how his work is helpful and important for his career to get new opportunities in a team, in organization. I will try to make him convinced if he is not interested in that technology or work, i will tell him first try to understand the core of the project or product and do what ever tasks assigned to you and side by side learn new technologies of your interest which will be helpful for project development. so even if he is not convinced i will suggest him to give a try to learn new things otherwise pursuing his area of interest.",learn new things otherwise pursuing side learn new technologies get new opportunities ever tasks assigned work given project development first try side work try project understand tell technology team suggest product performing per organization make interested interest important helpful give even core convinced convince colleague career area ,Where is your best advice?
It was a time when i was a beginner at coding and one of my friend gave me a task to build UI for his application.I ended up giving him a UI which was not so good.He then criticized me infront of others and i felt embarrassed and from then I started to enhance my abilities in coding.Now i feel so happy for that incident.,friend gave felt embarrassed build ui ui time task started others one infront incident happy good giving feel enhance ended criticized coding beginner application abilities ,Why ?
"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",would say partly successful initial interests good institute first interest define success computer science completely successful chemistry followed also adhere well pursue known ideals goals given field consider achievement ,Where I am now
As i wrote in earlier question that i like to do programming. So whenever i found some free time when i don't have work then i kill my time to do coding.,earlier question free time time wrote work whenever programming like kill found coding ,Why ?
If I have any problem at my workplace then first I will try to understand my problem deeply and will try to solve by own if possible . If not I will inform my seniors and will seek for help.,problem deeply problem workplace understand try solve seniors seek possible inform help first ,Why ?
"If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how heshe approached the problem.",would look would like similar situation heshe approached know someone someone workplace trust problems problem hear friend could colleague boss also ,Why ?
"well in easy words, confidence is a believe in our own capabilities in respect to certain job and being assured that i can do it whereas overconfidence isonly i an do this job,and no one else can.",whereas overconfidence isonly one else easy words certain job job well respect confidence capabilities believe assured ,How can i be sure that i will do this job?
"Personally, I wont take up a job which I dont like. And when it is the case, that I am provided with some task, I make sure I do it on time as it is handled as a responsiblilty to me. Besides, if I like it then, it becomes more easy for me. I dont think doing an over time job would be a burden for me. As I use to remain in my previous office overtime, to do certain tasks and to learn new things even when it was not asked for.",learn new things even previous office overtime time job would wont take make sure dont think certain tasks dont like time job like use task responsiblilty remain provided personally handled easy case burden besides becomes asked ,What if the manager does not like your work?
"Foreseeing the lack of skills and knowledge, and having thirst to learn, led me to opt for higher studies. This in turn will lead me to a better place. So I consider this a my best career move till now.",best career move till higher studies better place turn thirst skills opt led learn lead lack knowledge foreseeing consider ,Why ?
Yes I do. I was born in middle class family where I was given freedom to do what I want. I did my graduation from best school of my city. My parents gave me sufficient resources to live sustainable and healthier life.,middle class family sufficient resources parents gave live sustainable healthier life given freedom best school yes want graduation city born ,Where ver
Just by explaining benefits of my way of doing the job and how he will get benefits from it.,get benefits explaining benefits way job ,How would you convince a client who's not familiar with the industry?
"If I have a problem with the work, I would talk to the manager or any other concerned person. I would just be honest about it and try to be subtle.",concerned person would talk would work try subtle problem manager honest ,Why would I want to be honest?
I would love to undertake some mentor-ship roles in the long run.,would love ship roles long run undertake mentor ,Do you like working in a team?
"If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how heshe approached the problem.",would look would like similar situation heshe approached know someone someone workplace trust problems problem hear friend could colleague boss also ,Why ?
I consider myself to be a results oriented person with a strong drive for action. I would love to be able to contribute to your organisation as I am passionate about the mission of the company.,results oriented person would love strong drive passionate organisation mission contribute consider company action able ,"Are you interested in what the company has to offer to the public, the local community and to the local businesses"
I have always believed that success is not measured by the end results but by the path taken to reach that result. Success is about being honest to oneself and giving their best towards achieving a goal. I have followed this principle in every project I have been a part of.,best towards achieving path taken every project end results always believed success result reach principle part oneself measured honest goal giving followed ,Do you think it's possible to achieve success without being honest to yourself?
I'm studying in my third year and yet to start my career.,third year yet studying start career ,What 's going to happen to me?
"I am not very social, which i hear a lot of times from my friends. I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",avoid going social gatherings many times times social lot introvert hear friends criticised ,Why ?
"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",enjoying every bit classical dance form time management read blogs professional interests life hacks also like dance productivity personally music learning kathak interested currently ,What is your code standards?
"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",would keep situation arises well view us understand try thoughts politely point front even discussion disagreement disagree agree ,What do you think?
Time is always precious. I try to get through my work as soon as possible.,always precious work try time soon possible get ,How do you manage your time?
I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works.,matter without much difficulty understanding various approaches understanding situations around things proceed smoothly would also like would like would help right solution problem rather better interactions works work team resolving quality manager idea hearing happily giving getting difficulties concerns approach ,Are you able to achieve this in your job?
"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.",timely execution hard way continuity along valuable time success speed plans learned essential concentration ,How do you get people to buy your product?
Its always about your dedication how much you are dedicated towards your project and providing the customer with the best possible service from you that is the only way you can bound your customers with you for a long time.When i was working for tech mahindra we used to work for AT,best possible service tech mahindra long time dedicated towards working work way used providing project much dedication customers customer bound always ,How to get your project funded and deliver it on time.
"Music From my childhood to till date, the most important thing to me is music. Whenever i feel lonely, i may prefer singing or listening to music. I like any kind of music irrespective of many languages. most of the times i can connect to any kind of music. i also play keyboard. If i wouldn't have taken computer science i might have taken up a profession related to music. Apart from that, i also love swimming. Every summer, i join swimming classes and end up leaning",may prefer singing join swimming classes also play keyboard also love swimming taken computer science till date profession related many languages important thing feel lonely every summer music irrespective taken music whenever times might listening like leaning kind end connect childhood apart ,Are you a fan of the animemanga?
"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.",select specialisation within one day getting clear idea data science field liking specialisation totally new sufficient time started surfing much idea much confused faculty members completely new basic idea actual going idea field topics think subject seniors selected like know google everything details course communicated area anything ,Where to start with that?
"Well that depends what kind of a person your manager is and who is going to get affect from this, if its me than surely i will disagree with my manager and will argue with him as well but if its something project related and if i disagree with him i will try to convince him but if he didn't listen than i will get a written confirmation from him that whatever will be the consequences i'll not be responsible for that.",something project related written confirmation get affect get whatever well try surely responsible person manager listen kind going disagree depends convince consequences argue ,What if you disagree with a person in front of your boss?
"During my final year B.E. project, we had decided to do a project on detection sign language using image processing and Machine Learning. I as a team lead, decided to use Neural Networks to be used as a classification mechanism for classifying images based on some features. After proceeding with the NN we found out that it was not feasible to implement it on a wearable device. Later we changed the decision from NN to SVM and achieved our goal.",detection sign language using image processing use neural networks final year b classifying images based wearable device team lead machine learning classification mechanism used svm project proceeding nn later implement goal found features feasible e decision decided changed achieved ,Are you ready to try this new technology?
"Further studies, in my opinion, provide the kind of vertical studying, that due to some reason or the other, happens to be missing from horizontal nature of studies, in bachelors. We are given an opportunity to empty our presumptuous mind of all the learned, assumed data on a subject, and our learning begins anew with far more depth and precision, which ultimately helps delve into more localized study of our area of interest, rather than just a superficial glance of myriad of subjects. Further studies finally help us realize the power of inter-disciplinary courses, and helps us relate one subject to the other, gaining an overall view of a field.",studies finally help us realize helps us relate one subject ultimately helps delve learning begins anew vertical studying superficial glance presumptuous mind overall view localized study horizontal nature disciplinary courses assumed data subject studies subjects reason rather provide precision power opportunity opinion myriad missing learned kind interest inter happens given gaining field far empty due depth bachelors area ,Where do I start?
"Many instances for me on this. A Client, wont name, slammed our tech product and heavily criticized it. We made improvements and reached out to him again, only to find out he did that for our own good. Such things happen and these people just know how to react.",wont name things happen tech product many instances made improvements heavily criticized slammed react reached people know good find client ,How does that help you in any way?
"It was a project where the estimations of efforts and analysis of change done by the person was wrong and I was incharge of development of that product. I found out a way to convince my onsite counter part to buy a small amount of time as much as he can, and pallnned to break down the problems in small deliverables which would be given to client one by one. So that we will get more time to develop and the deliverables also doesn't get delayed. Because even if the requirement is delivered at once, tester will verify one by one so why not deliver in pieces. Was awarded by my leads for handling this.",onsite counter part small deliverables small amount deliverables also change done verify one client one get delayed one get wrong would way time tester requirement project product problems pieces person pallnned much leads incharge handling given found even estimations efforts development develop delivered deliver convince buy break awarded analysis ,Do you think it's possible for someone else to create a task for you to do?
"My strengths would be that I am a hard and smart worker like I pointed out before, a team player and work exceptionally well under pressure. In my previous job, we used to various pressure situations. That's when I realized I work well under pressure and can handle stress fairly well. And I also handle situations patiently. I wouldn't like to call these as my weaknesses but points I need to work on. I am a big time procrastinator, an introvert and fickle minded. These are the things I need to improve upon.",also handle situations patiently handle stress fairly well big time procrastinator various pressure situations work exceptionally well smart worker like work well team player strengths would previous job improve upon fickle minded work pressure like weaknesses used things realized points pointed need introvert hard call ,Are you able to get along with your teammates?
The biggest challenge I have faced so far is to not worry about things I can't change do anything about.,biggest challenge worry things far faced change anything ,Where do you think you're going wrong?
"Frankly speaking, this is my third interview. So, I am kind of amateur in all this interview process, that's why I am also trying to figure out answer to above question",third interview interview process frankly speaking also trying question kind figure answer amateur ,How many interviews do you do?
"I do not believe in strategies. Interviews are meant to be honest The interviewer should know who you really are, what your passions and strengths really are. It's about finding your true niche in the company. It's better to be honest and clear. If you can't explain well, take a bit longer and put some effort to maintain clarity. Maintain eye-contact and engage the other person. Finally be confident and live every moment of it. You have earned the interview, be confident and smile.",live every moment true niche maintain eye maintain clarity explain well bit longer strengths really really take strategies smile put person passions meant know interviews interviewer interview honest finding finally engage effort earned contact confident company clear better believe ,Are you ready to get your foot in the door?
"During the placements in final year of graduation, I had to prepare for campus drives and GATE at the same time. In that time prioritised the work by giving more importance to placements as GATE was after four months. I continued to attend classes for GATE so that I remain in touch with the syllabus and preparing for the placements in the rest of the time. After placements I switched my attention back to GATE.",four months final year campus drives attention back attend classes time prioritised time work touch syllabus switched rest remain preparing prepare placements importance graduation giving gate continued ,Why ?
"I don't regret any big decision in my life that i have taken, but there are small decision which i take in daily life and regret about it for some time.",small decision big decision daily life life time taken take regret ,Why ?
"For now, I can't say because I am still a student. Yes, I have worked for almost an year but I don't have much work experience. I am working on things, doing projects which I feel should be helpful.",much work experience yes year working worked things student still say projects helpful feel almost ,Why ?
When I was in 11th my mother had a neurosurgery in which many complications rose. My parents were away and I had my grandfather staying with me. My mother was being transferred to another city where she could be treated well. I had my classes and coaching going on at that time since 11th is a crucial year in academics. I wasn't feeling very well as I am close to my mother and my grades were suffering. So when I got to know the news I checked for tickets on a whim and luckily 2 were empty. Everyone was telling me not to come as it might affect my studies but I wasn't being very fruitful by staying there too. So within that 10 minutes I decided to skip on a test and called up my professors to take the permission and booked a ticket as soon as possible. I feel that it was one of the toughest decisions I had to take as it was between my mental peace and my academics. In the long run I never felt it as a wrong decision even if it was taken in the nick of time.,wrong decision even many complications rose time since 11th toughest decisions never felt might affect mental peace luckily 2 long run crucial year coaching going another city 10 minutes treated well grandfather staying time 11th well staying within whim transferred tickets ticket test telling taken take suffering studies soon skip professors possible permission parents one nick news neurosurgery mother know grades got fruitful feeling feel everyone empty decided could come close classes checked called booked away academics ,Where do you see yourself in 10 years?
Yes. I have good career and happy with where my current position,good career current position yes happy ,Why ?
I most probably am not able to balance life and work but i usely make a time table to create a temp. balance,usely make time table balance life balance work temp probably create able ,Do you have a routine that you follow?
"When I work under a person younger than me, I always follow two important things. Teach him from my experience if he is doing something wrong and second thing is to learn many things from him as he is in higher post then me.",always follow two important things learn many things something wrong second thing person younger higher post work teach experience ,Where do you think your strengths are?
"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50 weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",non cooperative team members four credit course recent difficult situation take home exam take matters work hard teammates refused stay back open book good grade felt homesick best without best friends 50 weightage exam difficult write us upset two three teammate successful stressed one managed made initially however holidays hands groups faced end decided counted complete compartmentalize attempt ,Do you know why?
I am fond of abstract Photography and am visiting places and click some really good pictures. I am an artist and have won silver and bronze medals in many drawing competitions conducted by Schoolsindia Foundation. I love to edit music using some computer software and have been an active contributor in many short films and advertisement in my school. I am also good at making all kinds of Presentations for projects including fact based and philosophy etc.,projects including fact based many drawing competitions conducted many short films edit music using really good pictures also good visiting places schoolsindia foundation philosophy etc computer software bronze medals active contributor abstract photography silver school presentations making love kinds fond click artist advertisement ,Are you a good student?
