,question,answer,question_keywords,answer_keywords
25,What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'","views, studies, ","process may discover something, academics always helps us, always wanted, would term, standing impression, research '.', keep alive, us, academics, synonym, studies, staying, society, relearn, mankind, learn, child, "
26,Who has inspired you in your life and why?,"There are many inspirations across the various walks of life, but if I were to choose one single person, it would be my father. He has singlehandedly supported his family ever since he was a teenager and continues to do the same, without the slightest sign of discomfort. He has shaped me up to be the man I am.","life, inspired, ","choose one single person, many inspirations across, family ever since, various walks, slightest sign, singlehandedly supported, would, without, teenager, shaped, man, life, father, discomfort, continues, "
27,What strategies would you use to motivate your team?,By giving them rewards and recognition and by working with them.,"strategies would, use, team, motivate, ","working, rewards, recognition, giving, "
28,Can you describe a situation in which you made a decision and it was a failure ? ,We had to come up with a idea for a project last semester. I think I tried to force my opinion on my team mates. I wanted them to follow my approach and that didn't turn out well. I realised that I was being very controlling over them and then I gave up. I opened my mind to their suggestions and we came up with a plan together.,"situation, made, failure, describe, decision, ","project last semester, team mates, plan together, well, wanted, turn, tried, think, suggestions, realised, opinion, opened, mind, idea, gave, force, follow, controlling, come, came, approach, "
29,How much do you value time at work?,"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.","value time, work, much, ","timely execution, hard way, continuity along, valuable, time, success, speed, plans, learned, essential, concentration, "
30,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
31,What situations make you angry?,Mostly when someone break my trust. When i try to believe someone but i do not get the results. But it help me to always self independent. ,"situations make, angry, ","always self independent, someone break, believe someone, try, trust, results, mostly, help, get, "
32,When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ","thought outside, last time, box, ","current overall mood, batch mates attended, teams started implementing, car direr experience, self driving cars, driving cars, driving car, worked well, traditional way, sentiment analysis, problem statement, mercedes benz, lets face, judges liked, inside atmosphere, car based, build something, 24 hours, next couple, months back, hackathon organised, first thought, teams, self, experience, car, thought, next, months, hackathon, vain, thinking, supposed, passengers, parted, moment, mind, innovations, impossible, ideas, idea, future, feature, enhance, driver, changing, case, came, building, asked, along, add, according, 3, "
33,Tell me about a time when you had to deal with a co-worker who wasn't doing his/her fair share of the work. What did you do and what was the outcome?,"Once, in a group of four, a person wasn't contributing up to the mark for some project.  The remaining three of us talked casually to that  person saying that every has a lot to do and that we cannot finish the project if you are not doing your best. At first, that person became defensive saying that that person is doing the same amount of work as anyone else. On further friendly discussion, the person agreed to put in more effort.  ","fair share, worker, work, time, tell, outcome, deal, co, ","person became defensive saying, us talked casually, person saying, person agreed, remaining three, friendly discussion, cannot finish, anyone else, person, work, put, project, mark, lot, group, four, first, every, effort, contributing, best, amount, "
34,What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,"often criticize, people, ","person sometimes take advantage, new issue, generally good, fights back, try, talk, stuff, starts, sometime, quarrel, quality, mine, makes, make, happy, fight, excuse, everyone, anyone, "
35,"If you could relive the last 10 years of your life, what would you do differently?","Doing something differently from whatever i am currently doing, may be i would think of making my career in some artistic field related to my hobbies. For now whatever I do regarding my artistic interest, it's a part of my hobby and not as a career point of  view. Since now more of the facilities available to implement something entirely different as a career aspect, may be that's what i would have gone for.","last 10 years, could relive, would, life, differently, ","implement something entirely different, artistic field related, something differently, artistic interest, facilities available, career point, career aspect, would think, career, would, whatever, view, since, regarding, part, may, making, hobby, hobbies, gone, currently, "
36,What obstacles or difficulties have you ever faced in communicating your ideas?,"Sometimes it happens that I am unable to express what I want to tell because of demotivation from other parties. But still I don't lose hope and stick with my ideas and try to explain that in some innovative and real examples. One day, I and my project partners were discussing on project idea. At that time, my idea was good and new but problem was that I don't have any proof to prove that my idea will work very well. But after some days of research, I found actual proof that it is possible to implement and then we all would agreed on that topic. For the newer person, it is natural to have some difficulties in communicating but after some efforts you will surely get confidence to explain it in better way. ","ever faced, obstacles, ideas, difficulties, communicating, ","surely get confidence, found actual proof, would agreed, real examples, project partners, one day, newer person, lose hope, better way, project idea, proof, idea, work, well, want, unable, try, topic, time, tell, still, stick, sometimes, research, prove, problem, possible, parties, new, natural, innovative, implement, ideas, happens, good, express, explain, efforts, discussing, difficulties, demotivation, days, communicating, "
37,Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.","made, happened, failure, describe, decision, ","week together, miss communication, first time, team work, team, successful, sat, planned, organize, lack, felt, failed, event, due, day, coordination, college, chaos, bad, "
38,How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,"would, organisation, asset, ","work together efficiently, make good interaction, hard work, good understanding, skills whenever, full dedication, wherever, required, put, people, organisation, knowledge, goal, create, contributing, asset, achieve, "
39,Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.","worked, team, give, example, ","project work among, right manner, rest two, 5 individuals, us worked, work, project, worked, working, time, technicalities, team, others, order, one, meetings, interests, interested, including, implementation, hence, helped, going, everything, ensured, ensure, documentation, divided, discuss, depending, 2, "
40,How will your greatest strength help you perform?,My greatest strength is my quick learning capability. This helps me to grasp things quickly and thus gives me extra time to do my job more elegantly. This way it helps me to perform.,"greatest strength help, perform, ","quick learning capability, grasp things quickly, thus gives, greatest strength, extra time, way, perform, job, helps, elegantly, "
41,"If you could learn some new skill, what would that be?","I was always interested in learning music or any musical instruments.
I enjoy listening to music so I would like to experience how it feels like making music and make others enjoy my music. 
For starters, I would like to improve my whistling skills. I would want to whistle a complete song.
In long run, I might take up learning guitar or flute. Music has always been a stress-buster for me. Learning a musical instrument has been there in bucket list for a long time.  ","new skill, could learn, would, ","feels like making music, make others enjoy, would like, enjoy listening, would want, whistling skills, musical instruments, musical instrument, might take, long time, long run, learning music, complete song, bucket list, learning guitar, always interested, music, learning, always, whistle, stress, starters, improve, flute, experience, buster, "
42,Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.","self, motivator, ","big self motivating technique, motivated every time, towards success, think plays, stronger version, particular work, essential part, always think, always evaluate, previous performance, current performance, better version, self, performance, better, yes, would, tend, skills, person, one, motivator, motivates, driving, comparing, allows, "
43,Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.","workload, time, heavy, handled, describe, ","summer vacations 2016, pretty much heavy, learn new things, time management, team progress, second semester, necessary step, interest quickly, go forward, daily routine, busy nowadays, workload due, workload, work, think, tendency, pressure, need, mess, means, manage, like, however, finish, also, "
44,Are you a risk taker or do you stay away from risk?,"This depends on situation. Sometimes for my growth I had taken risks. Like as I was sure to do M-Tech and for that i need good score in gate exam. As I was aware that college placement procedure will waste a lot of time but if I cant get admission  i any college, my year will be wasted. So people suggested me to take job as backup but for master I took risk and didn't apply for placements.","stay away, risk taker, risk, ","need good score, cant get admission, college placement procedure, took risk, taken risks, take job, people suggested, gate exam, college, year, wasted, waste, time, tech, sure, sometimes, situation, placements, master, lot, like, growth, depends, backup, aware, apply, "
45,Describe a decision you made that was a failure. What happened and why?,"When I was working at Cognizant Technology Solutions, I took up a project because it was the only one where an opening was available. The only other alternative was to be benched till another project came. Due to the unavailability of other projects, I took it up although I didn't find the project that interesting. The end result was that I ended up doing a project I wasn't all that excited about. I could have waited a bit longer and got a project of my choice.","made, happened, failure, describe, decision, ","benched till another project came, cognizant technology solutions, end result, bit longer, project, working, waited, unavailability, took, projects, opening, one, interesting, got, find, excited, ended, due, could, choice, available, although, alternative, "
46,What are your outside interests?,"I am interested in sports. I play multiple sports like cricket, tennis, table tennis, basketball, badminton. I am a cricket fan and follow each and every game. I am a foodie as well as I like to travel to new places. I am even a movie lover and watch a lot of movies.","outside interests, ","play multiple sports like cricket, cricket fan, new places, movie lover, every game, table tennis, sports, like, tennis, well, watch, travel, movies, lot, interested, foodie, follow, even, basketball, badminton, "
47,Explain how would you be an asset to this organisation?,I'm an M.Tech student who is an allrounder. I specialise in Electronic System Design. Since this organisation builds electronic components I will be able to contribute to the growth of the organisation. I also have good interpersonal skills and I'm a team player. This will help interact with people well and meet the deadlines for projects. All these qualities helped me achieve a lot of awards in my career and I would like to continue the same in this organization.   ,"would, organisation, explain, asset, ","organisation builds electronic components, electronic system design, good interpersonal skills, would like, tech student, team player, qualities helped, people well, help interact, organisation, specialise, since, projects, organization, meet, lot, growth, deadlines, contribute, continue, career, awards, also, allrounder, achieve, able, "
48,"If you could learn some new skill, what would that be?","I was always interested in learning music or any musical instruments.
I enjoy listening to music so I would like to experience how it feels like making music and make others enjoy my music. 
For starters, I would like to improve my whistling skills. I would want to whistle a complete song.
In long run, I might take up learning guitar or flute. Music has always been a stress-buster for me. Learning a musical instrument has been there in bucket list for a long time.  ","new skill, could learn, would, ","feels like making music, make others enjoy, would like, enjoy listening, would want, whistling skills, musical instruments, musical instrument, might take, long time, long run, learning music, complete song, bucket list, learning guitar, always interested, music, learning, always, whistle, stress, starters, improve, flute, experience, buster, "
49,"Are you an organised or a disorganised person, in what ways?","I think most of the time I am an organized person as I set goals for myself and ensure to complete them within stipulated time. I manage my time by making targets for myself and setting up deadlines and make sure to review my work on daily basis. I balance my schedule between academics, physical activities and social activities. Along with my career and academics, I pay proper attention towards my health  and family.","disorganised person, ways, organised, ","pay proper attention towards, within stipulated time, social activities, set goals, physical activities, organized person, making targets, make sure, daily basis, time, work, think, setting, schedule, review, manage, health, family, ensure, deadlines, complete, career, balance, along, academics, "
50,"Have you worked with someone unprofessional, how did you handle it?",I have once worked with a mentor who was really unprofessional. It was as a part of my summer internship. He was abusive to say the least. The words he would speak cannot be told. I had a very bad time in that company. I ultimately quit the company though they were paying me very high amount of money because I have always believed in self respect coming first and later money. I am happy I chose to quit that company. I did not want to complaint it to the HR because I felt may be it just happened with me and looked at it in the positive way. His words gave me motivation later and I got another nice internship opportunity which I thoroughly enjoyed.,"someone unprofessional, worked, handle, ","got another nice internship opportunity, self respect coming first, would speak cannot, summer internship, thoroughly enjoyed, really unprofessional, positive way, motivation later, high amount, felt may, bad time, always believed, words gave, ultimately quit, later money, company though, words, quit, money, company, worked, want, told, say, paying, part, mentor, looked, least, hr, happy, happened, complaint, chose, abusive, "
51,How did you handle meeting a tight deadline?,i generally don't postpone my work till the deadline. I am conscious enough and plan everything in advance and manage the things to avoid any last minute tensions. ,"tight deadline, handle meeting, ","last minute tensions, work till, plan everything, conscious enough, things, postpone, manage, generally, deadline, avoid, advance, "
52,What are the strategies you think one should have to perform well in such an interview?,In an interview one must have to be confident and fell like he talks to a person not to a system . So that  he gets the feel  of real communication and he can make his point clearly to the system.,"think one, perform well, strategies, interview, ","interview one must, real communication, point clearly, fell like, talks, system, person, make, gets, feel, confident, "
53,How will you perform under pressure? Will it affect your performance?,First of all I will not allow things to go so wrong so as to create some sort of pressure. Now if the pressure starts to build up then I will make use of my time to the best of the ability  to handle this pressure. Yes it will affect some  my performance but not very much.,"pressure, performance, perform, affect, ","make use, allow things, pressure starts, pressure, yes, wrong, time, sort, performance, much, handle, go, first, create, build, best, affect, ability, "
54,How would you convince your client with your ideas?,I will explain him about my idea and its applications in all possible ways till he gets convinced. Also I would like to show some pictorial presentations instead of explaining in words. This can make him connect to my ideas. I will explain by starting with the problem and how my idea can solve it. ,"would, ideas, convince, client, ","possible ways till, pictorial presentations instead, would like, gets convinced, words, starting, solve, show, problem, make, ideas, idea, explaining, explain, connect, applications, also, "
55,Would you rather be liked or respected?,"I would LIKE to be RESPECTED by people genuinely. Every person would like to have a minimum respect in the society. But, I would like to be LIKED by people as well, because the respect I get would be fake. So, I would like LIKE and RESPECT to go hand in hand.","would, respected, rather, liked, ","every person would like, would like like, would like, get would, people genuinely, minimum respect, go hand, respect, people, hand, well, society, respected, liked, fake, "
56,"If you could learn some new skill, what would that be?",I would love to learn Computer graphics as new skill.As I am very curious about it as I have never learned any graphics related course. ,"new skill, could learn, would, ","learn computer graphics, graphics related course, would love, new skill, never learned, curious, "
57,Are you a risk taker or do you stay away from risk?,I like to think about the situation and at times I do decide to do something that's risky whereas at other times I play safe.,"stay away, risk taker, risk, ","risky whereas, play safe, times, think, something, situation, like, decide, "
58,Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.","worked, team, give, example, ","project work among, right manner, rest two, 5 individuals, us worked, work, project, worked, working, time, technicalities, team, others, order, one, meetings, interests, interested, including, implementation, hence, helped, going, everything, ensured, ensure, documentation, divided, discuss, depending, 2, "
