Answer,Followup Question
"It was a project where the estimations of efforts and analysis of change done by the person was wrong and I was incharge of development of that product. I found out a way to convince my onsite counter part to buy a small amount of time as much as he can, and pallnned to break down the problems in small deliverables which would be given to client one by one. So that we will get more time to develop and the deliverables also doesn't get delayed. Because even if the requirement is delivered at once, tester will verify one by one so why not deliver in pieces. Was awarded by my leads for handling this.",Are you a good in me?
I will try to give my 100 for this job. I will use this opportunity to learn things and make use of it to provide best results for this company. I will try to be friendly with everyone and motivate them to work together to complete the task given to the team.,Are you a good in the projects?
If i love my work then i will not mind working overtime and once it gets over i'll be satisfied with myself. This'll increase my confidence also with dealing with deadlines and will help me in improving my skills. And if i get tired i can always ask for a leave but eventually things will get completed with no due.,What do you handle the line?
"Once, in a group of four, a person wasn't contributing up to the mark for some project. The remaining three of us talked casually to that person saying that every has a lot to do and that we cannot finish the project if you are not doing your best. At first, that person became defensive saying that that person is doing the same amount of work as anyone else. On further friendly discussion, the person agreed to put in more effort.",What do you a the relationship?
"Yes, I am. Before I start working on something or when I start studying something I just recall the eventual purpose of it when is my personal goal. So, when that goal flashes in my mind I get boosted like anything. I have set-up high goals in my life. My life mantra would is never settle, wondering what that means? According to me, only 'MUD' settles in the bottom.",What do you get a fan to find the beginner?
I want to be a good programmer and also i want to be best fifa player.,Why do you think about of the current
"Yes I am a risk taker. In fact I belong from small town, so to do anything out of the box I took risk throughout my life. I organised several workshops in my carrier considering that high risk is involved.",Why do you get the job?
"Once upon a time a friend of mine was giving me advice on some personal problem. I thought at that time that she was interfering unnecessarily in my life and she told me continously not to do what I am doing so,I stopped talking to her. But at later stage of my life i realised that she was correct and I misjudged her completely.",What do you a the relationship?
"Once upon a time a friend of mine was giving me advice on some personal problem. I thought at that time that she was interfering unnecessarily in my life and she told me continously not to do what I am doing so,I stopped talking to her. But at later stage of my life i realised that she was correct and I misjudged her completely.",What do you a the relationship?
"Hard work is like putting the efforts, resources and time totally to achieve the desired results. Smart work is putting the efforts to utilize the time and resources efficiently to achieve the results with a sense of contentment. Smart work also ensures less mental and physical pressure.",Why do people
I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's growth through my small efforts will be my ultimate goal.,What do you a the life?
"I am a little lazy at some things, but when I feel like doing something or I am given a responsibility to do something, I do not let my laziness come in my way. Also, I have tasks that I need to do on a particular day planned by the time the day begins. So, at times I am a disorganized person and at times I am an organized person.",Are you a good in the life?
"well in easy words, confidence is a believe in our own capabilities in respect to certain job and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",Are you a a programmer?
"Being a student from IIITB, I possess great skills to solving a different variety of problems. Coming from research background, I look into every aspect of the problem being solved to make it an easy job.",Why do you get the job?
Confidence is something that build faith in ourselves after doing required work at a same time we are not ignoring others capabilities and knowledge. Overconfidence is something that comes because of our ego.Believing in self without doing required work.Consciously or unconsciously we are ignoring capabilities of our compititors,What do you want to you?
I never loved taking risks I always wanted things to be straight forward but as the time has passed I have learnt to take risks and believe me I have taken a few very serious risks and one of them is dropping IIT Kharagpur and joining IIIT Bengaluru. I don't know how many people find this decision of dropping IIT a risk but trust me once you are in IIT then leaving it is really very difficult.,Are you a good in the life?
"I had to, when we were brainstorming ideas for a hacking session. I first tried to understand their concerns and requirements. Later I pitched my idea in accordance to that. I ensured that I understood and answered all their queries.",Why do you think?
"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",What do you get a programmer?
I am very much optimistic. I take the things in positive way. I like to do new things. Because of all this I feel I am able to handle difficult situations without panic.,Are you a good in the life?
When I was deputed to chennai I was in office for 48 hours to meet customer requirement and finaly customer got happy with my efforts .,Why do you think the most?
"Managing an activity at office which was done in production , for the very first time, Independently.",Why do that?
"I would consider myself a risk taker. I take challenges head on and as a human, taking risk is like challenges, it feels nice when the risk pays off.",Are you a good in the life?
"well in easy words, confidence is a believe in our own capabilities in respect to certain job and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",Are you a a programmer?
"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",What do you get a programmer?
I like to explore mythology in the country. I like workouts and exploring different cuisines. I like solving different problems in math and science. I like exploring astronomy.,What do you a the life?
Partially. Have a lot of things that I haven't achieved yet.,Why do you find time?
"I was captain while I was at school and one day, along with a group of friends, I bunked Science class. Our teacher knew that we had bunked but she didn't know I was there too. So next class when she punished the rest, I owned up, on my own. She was surprised and told me that technically I had to lose my captaincy but since I was being honest when I could have easily gotten away, I get to keep it.",Are you a good in the life?
"If my colleague is not performing as per the work given to him i will try to convince him to work on it with interest and how his work is helpful and important for his career to get new opportunities in a team, in organization. I will try to make him convinced if he is not interested in that technology or work, i will tell him first try to understand the core of the project or product and do what ever tasks assigned to you and side by side learn new technologies of your interest which will be helpful for project development. so even if he is not convinced i will suggest him to give a try to learn new things otherwise pursuing his area of interest.",What do you handle the line?
It was a time when i was a beginner at coding and one of my friend gave me a task to build UI for his application.I ended up giving him a UI which was not so good.He then criticized me infront of others and i felt embarrassed and from then I started to enhance my abilities in coding.Now i feel so happy for that incident.,Are you a good in me?
"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",What do you a the life?
As i wrote in earlier question that i like to do programming. So whenever i found some free time when i don't have work then i kill my time to do coding.,Why do do you the
If I have any problem at my workplace then first I will try to understand my problem deeply and will try to solve by own if possible . If not I will inform my seniors and will seek for help.,What do you handle the line?
"If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how heshe approached the problem.",What do you handle the line?
"well in easy words, confidence is a believe in our own capabilities in respect to certain job and being assured that i can do it whereas overconfidence isonly i an do this job,and no one else can.",Are you a a programmer?
"Personally, I wont take up a job which I dont like. And when it is the case, that I am provided with some task, I make sure I do it on time as it is handled as a responsiblilty to me. Besides, if I like it then, it becomes more easy for me. I dont think doing an over time job would be a burden for me. As I use to remain in my previous office overtime, to do certain tasks and to learn new things even when it was not asked for.",What do you a the relationship?
"Foreseeing the lack of skills and knowledge, and having thirst to learn, led me to opt for higher studies. This in turn will lead me to a better place. So I consider this a my best career move till now.",What do you want to my the line?
Yes I do. I was born in middle class family where I was given freedom to do what I want. I did my graduation from best school of my city. My parents gave me sufficient resources to live sustainable and healthier life.,Why do you get the job?
Just by explaining benefits of my way of doing the job and how he will get benefits from it.,What do you handle the line?
"If I have a problem with the work, I would talk to the manager or any other concerned person. I would just be honest about it and try to be subtle.",What do you handle the line?
I would love to undertake some mentor-ship roles in the long run.,Are you a good in them?
"If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how heshe approached the problem.",What do you handle the line?
I consider myself to be a results oriented person with a strong drive for action. I would love to be able to contribute to your organisation as I am passionate about the mission of the company.,What do you a the life?
I have always believed that success is not measured by the end results but by the path taken to reach that result. Success is about being honest to oneself and giving their best towards achieving a goal. I have followed this principle in every project I have been a part of.,What do you a the life?
I'm studying in my third year and yet to start my career.,Do do time a a to me?
"I am not very social, which i hear a lot of times from my friends. I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",What do you a the life?
"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",What do you get a programmer?
"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",What do you handle the line?
Time is always precious. I try to get through my work as soon as possible.,Why do you find in politics?
I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works.,Are you a good in the life?
"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.",Why do you find in politics?
Its always about your dedication how much you are dedicated towards your project and providing the customer with the best possible service from you that is the only way you can bound your customers with you for a long time.When i was working for tech mahindra we used to work for AT,Why do you get a fan of something?
"Music From my childhood to till date, the most important thing to me is music. Whenever i feel lonely, i may prefer singing or listening to music. I like any kind of music irrespective of many languages. most of the times i can connect to any kind of music. i also play keyboard. If i wouldn't have taken computer science i might have taken up a profession related to music. Apart from that, i also love swimming. Every summer, i join swimming classes and end up leaning",What do you want to them?
"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.",Are you a good in the life?
"Well that depends what kind of a person your manager is and who is going to get affect from this, if its me than surely i will disagree with my manager and will argue with him as well but if its something project related and if i disagree with him i will try to convince him but if he didn't listen than i will get a written confirmation from him that whatever will be the consequences i'll not be responsible for that.",Why do you want the job?
"During my final year B.E. project, we had decided to do a project on detection sign language using image processing and Machine Learning. I as a team lead, decided to use Neural Networks to be used as a classification mechanism for classifying images based on some features. After proceeding with the NN we found out that it was not feasible to implement it on a wearable device. Later we changed the decision from NN to SVM and achieved our goal.","Are you a a problem, to work?"
"Further studies, in my opinion, provide the kind of vertical studying, that due to some reason or the other, happens to be missing from horizontal nature of studies, in bachelors. We are given an opportunity to empty our presumptuous mind of all the learned, assumed data on a subject, and our learning begins anew with far more depth and precision, which ultimately helps delve into more localized study of our area of interest, rather than just a superficial glance of myriad of subjects. Further studies finally help us realize the power of inter-disciplinary courses, and helps us relate one subject to the other, gaining an overall view of a field.",Why do you see
"Many instances for me on this. A Client, wont name, slammed our tech product and heavily criticized it. We made improvements and reached out to him again, only to find out he did that for our own good. Such things happen and these people just know how to react.",What do you able to angry?
"It was a project where the estimations of efforts and analysis of change done by the person was wrong and I was incharge of development of that product. I found out a way to convince my onsite counter part to buy a small amount of time as much as he can, and pallnned to break down the problems in small deliverables which would be given to client one by one. So that we will get more time to develop and the deliverables also doesn't get delayed. Because even if the requirement is delivered at once, tester will verify one by one so why not deliver in pieces. Was awarded by my leads for handling this.",Are you a good in me?
"My strengths would be that I am a hard and smart worker like I pointed out before, a team player and work exceptionally well under pressure. In my previous job, we used to various pressure situations. That's when I realized I work well under pressure and can handle stress fairly well. And I also handle situations patiently. I wouldn't like to call these as my weaknesses but points I need to work on. I am a big time procrastinator, an introvert and fickle minded. These are the things I need to improve upon.",Why do do you have a hobby?
The biggest challenge I have faced so far is to not worry about things I can't change do anything about.,Why do that?
"Frankly speaking, this is my third interview. So, I am kind of amateur in all this interview process, that's why I am also trying to figure out answer to above question",Do do you have the time?
"I do not believe in strategies. Interviews are meant to be honest The interviewer should know who you really are, what your passions and strengths really are. It's about finding your true niche in the company. It's better to be honest and clear. If you can't explain well, take a bit longer and put some effort to maintain clarity. Maintain eye-contact and engage the other person. Finally be confident and live every moment of it. You have earned the interview, be confident and smile.",Are you a good in the life?
"During the placements in final year of graduation, I had to prepare for campus drives and GATE at the same time. In that time prioritised the work by giving more importance to placements as GATE was after four months. I continued to attend classes for GATE so that I remain in touch with the syllabus and preparing for the placements in the rest of the time. After placements I switched my attention back to GATE.",What did you did the problem?
"I don't regret any big decision in my life that i have taken, but there are small decision which i take in daily life and regret about it for some time.",What do you know the life?
"For now, I can't say because I am still a student. Yes, I have worked for almost an year but I don't have much work experience. I am working on things, doing projects which I feel should be helpful.",Why do you want to be the painter?
When I was in 11th my mother had a neurosurgery in which many complications rose. My parents were away and I had my grandfather staying with me. My mother was being transferred to another city where she could be treated well. I had my classes and coaching going on at that time since 11th is a crucial year in academics. I wasn't feeling very well as I am close to my mother and my grades were suffering. So when I got to know the news I checked for tickets on a whim and luckily 2 were empty. Everyone was telling me not to come as it might affect my studies but I wasn't being very fruitful by staying there too. So within that 10 minutes I decided to skip on a test and called up my professors to take the permission and booked a ticket as soon as possible. I feel that it was one of the toughest decisions I had to take as it was between my mental peace and my academics. In the long run I never felt it as a wrong decision even if it was taken in the nick of time.,Why do you get the two?
Yes. I have good career and happy with where my current position,What do you a money?
I most probably am not able to balance life and work but i usely make a time table to create a temp. balance,What do you a the life?
"When I work under a person younger than me, I always follow two important things. Teach him from my experience if he is doing something wrong and second thing is to learn many things from him as he is in higher post then me.",Why do you think the most?
"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50 weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",Are you a good know?
I am fond of abstract Photography and am visiting places and click some really good pictures. I am an artist and have won silver and bronze medals in many drawing competitions conducted by Schoolsindia Foundation. I love to edit music using some computer software and have been an active contributor in many short films and advertisement in my school. I am also good at making all kinds of Presentations for projects including fact based and philosophy etc.,What do you a a life?
"According to me, job satisfaction covers all - the quality and quantity of work, salary, company environment and others. Yes, cooperation and adjustment is needed in a company.",Are you a a confidence?
"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",What do you a the relationship?
"During my first job, I was not very good at programming. So in order to not appear unskilled' before the people i spent extra efforts to learn the same. '",What did you a the line?
"Yes, i am a hard working person and i like to learn and lot for my personal growth",What do you get a good hard?
"when i worked for a company,i had a few persons in my group like this.But i was able to deal with them and make them work without getting angry.i used to handle such sort of people in a gentle manner. i think,there are no such people who does not work with you,when they like you.so treat everyone in a gentle manner,they will start changing sooner in the way you might want.","Why do you get the problem,"
When I was in 11th my mother had a neurosurgery in which many complications rose. My parents were away and I had my grandfather staying with me. My mother was being transferred to another city where she could be treated well. I had my classes and coaching going on at that time since 11th is a crucial year in academics. I wasn't feeling very well as I am close to my mother and my grades were suffering. So when I got to know the news I checked for tickets on a whim and luckily 2 were empty. Everyone was telling me not to come as it might affect my studies but I wasn't being very fruitful by staying there too. So within that 10 minutes I decided to skip on a test and called up my professors to take the permission and booked a ticket as soon as possible. I feel that it was one of the toughest decisions I had to take as it was between my mental peace and my academics. In the long run I never felt it as a wrong decision even if it was taken in the nick of time.,Why do you get the two?
Yes. I have good career and happy with where my current position,What do you a money?
If I were asked by my manager to work overtime I would complete my work even before the stipulated so I can leave early. It's better getting work done faster than asking manager to reduce it.,What do you handle the line?
I always believed in following my passions. I wanted to do pursue robotics as I was very passionate about it but that completely threw my grades to a very bad situation.,Are you a good in the life?
"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",What do you a the relationship?
"No,not yet .I had not done any thing to be called as a successful .I believe that my real success will start from here by working in one of the sectors i am passionate about in reputated companies and contributing towards the growth of the company.That day i can call myself as successful when i achieve the strength to fulfill my parent's needs.",What do you a the relationship?
"I find myself to be a quick learner when compared to others and when i work with an organisation i do any assigned work as its my work an not with the feeling that someone else is going to make profit out of it, thus you can expect trust as well as competence from me.",Are you a good in the life?
I will actually feel regarding that inside me and later I will agree with it thinking that anything happened will be good for us as long it does not cause harm to other human beings.,What do you a the life?
There needs to be a push to the cultural sctivities in the institute like formation of clubs or forum for different activities. That's the one thing that lacks right now.,Do do you aware of the time?
I have once worked with a mentor who was really unprofessional. It was as a part of my summer internship. He was abusive to say the least. The words he would speak cannot be told. I had a very bad time in that company. I ultimately quit the company though they were paying me very high amount of money because I have always believed in self respect coming first and later money. I am happy I chose to quit that company. I did not want to complaint it to the HR because I felt may be it just happened with me and looked at it in the positive way. His words gave me motivation later and I got another nice internship opportunity which I thoroughly enjoyed.,Are you a good in the life?
"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",What do you a the life?
I have a good coding skills in python. So I can code with the minimal expense of memory and algorithicm time. So that is a perk of employing me.,Are you a good in the life?
"Time is of great essence at work. I have always believed in being on time'. Apart from being punctual, managing time is also very important. As, we know Time and Tide wait for none, so I respect the time that I have and try and utilize it to full.'",Why do you find in politics?
Sometimes when there is no one around to motivate me I turn into self motivator.,"What do you get the job, in this?"
"Yeah totally I am the smallest child in my family, then it's obvious. All untried and first decisions made for my elder sister were purely refined for me. I was not allowed to take Maths with Biology in my High School. That way I am really lucky. I am lucky that I have a caring family. I am lucky to have bunch of hopeless friends :P. I was also lucky in a way that my Tenth Class CBSE board exams got cancelled due to CCE evaluation concept by the HRD Ministry at that point of time. Unfortunately, that couldn't happen the same when I was in Twelfth Class CBSE. All these instances really proved that I am one lucky bastard :P.",What do you a the relationship?
"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person. But life is not sunshine and rainbows as Sylvester Stallone says I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes. Overall, i will consider myself as an organised person",Are you a good in the life?
It was in the Jan 2017. When I was doing my internship and also the course work with many ongoing projects and also my own projects. At that time it was very hectic for me but finally managed it by deciding my priorities and finally I quit my internship.,What do you want to them?
My example of creativity is to accept new ideas and support them created by others like me and my friend did a project regarding percentage display of battery using arduino uno which was my friend's creative idea. Similarly I was current working on a creative project regarding solar energy harvesting and pollution monitoring.,Why do you have a a a do?
"I am definitely a risk-taker. One cannot move up the ladder of success without taking risks. Having said that, I take risks only after assuring that the damage is minimal in case I fail. I like taking risks as that will put me out of my comfortable place and give me new experiences. Also, risks make me work harder.",Are you a good in the life?
Confidence is when you are aware of your own's ability and you know that you can do the work.But when you think that you are the only person who can do it is over-confidence.,What do you want to you?
"The hardest decision I've taken is not at work but is was in my life its like choosing between IIT-R and IIIT-B. Its a kind of decision you can't take many people advise in this thing because you know it is at the last our Indian society which think IIT's as an top notch institute there's nothing better than that. So i was a very hard for me to decide. And i've come in this decision by talking to people who were currently studying here and reading many articles on internet. And result is good, it's like I cant compare them because I've lived only one experience but according to me the decision was paying off.",Why do that?
"I would like to neither agree nor disagree with the fact that I am an absolute risk taker. I prefer calculative risks over instantaneous mindless experiments as these usually turn out to be successful and even if the dont they provide a chance to atleast traceback and determine where I went wrong. So that I dont repeat the same mistake again in the future. But when it comes to situations in which my the failure of my risks are likely to have an adverse effect on the others, I usually refrain myself from taking such risks and like to play it safe in order to ensure their well-being.",Are you a good in the life?
"According to me, I can handle pressure well. It doesn't affect my performance at all, and in fact it will bring out a fighter out of me to finish the challenge in a better, optimized way. Also, my brain and body will tune into the work mode just according to how my time I am left with and also based upon the deadline. I am very adaptable person, so I can adapt to any situation very easily.",Are you a a confidence? person?
"Yes, I am self motivator, when ever i feel demotivated and think of quiting .I give my self some time and talk to myself and gather all my strength to start a fresh and keep on reminding my self why i am doing a particular thing, this keeps me self motivated.",What do you get a fan to find the beginner?
I try to Minimize wastage and maximise usage of resources which requires to be creative.,What do you a the life?
"Apart from technical expertise, I am quite comfortable working in a team. I would be honest towards the company. I am willing to act in favor of the company's long term interests and do what is best for the company.",What do you get the favourite job?
"I usually create lot of things at home. I created something like oven,a box kind of thing.when you put something in that it and keeping the entire thing in the sunlight it gets heated in few minutes. It is useful when you want something like pizza,hotdog... heated. and then created some cutting thing",Are you a good in the life?
"Abstractly I am passionate about life in general. I believe in appreciating smaller things in live, be it beauty of things or celebrating small days. I believe when you're celebrating and appreciating small things you bring positivity in your life through your ideas and thoughts as mind inculcates positive emotions in your day and it helps you face challenges of the day. I am inquisitive by nature and reading is my passion as I like to learn new things and be updated with things around. I realise that whatever knowledge I have is a drop in the ocean and constantly try to learn new things to contribute into my ocean.",What do you a the relationship?
I want to be a good programmer and also i want to be best fifa player.,Why do you think about of the current
I can be an asset as I am patient while handling people and situations. I can participate and coordinate well with teams I get to work with. I can take in criticisms and work on to improve myself. I like to learn new things from anybody and will take necessary help whenever needed. I quite friendly with everyone.,What do you a the life?
My example of creativity is to accept new ideas and support them created by others like me and my friend did a project regarding percentage display of battery using arduino uno which was my friend's creative idea. Similarly I was current working on a creative project regarding solar energy harvesting and pollution monitoring.,Why do you have a a a do?
"I worked in team by giving importance to each and every team member. I take my work very sincerely and try to complete on time. Try to come out with some different approaches and discuss with my friends even if my approaches are rejected number of times. Also, by helping my team mates if they are stuck anywhere.",What do you a the life?
"I always fail keeping up my diet in order to lose weight, but i have lot of willpower and patience which keeps me going.",What do you a the life?
I was leading a couple of people when I was organising an event. Basically there's was a prize money for the best event. I led the whole team. I worked with the juniors and did work along with them apart from leading them. That made them work harder as besides being a senior I was doing their work. Helping them out when they were tired. That eventually acted as the motivation for the whole team. Finally we won the event.,Are you a good in life?
"Yes, I consider myself successful. I have an excellent job and able to do justice to my work successfully",What do you get a fan to be fan in this job?
"In one of the projects that I was assigned, when a co-worker wasn't doing her share of work properly, I tried to advise her to complete her share of work. I tried to help her out if she was facing any problems. But when the problem persisted and since she lacked intersest, I tried to let my higher authorities know that a group member was not co-operating.",Why do you get the problem?
"Parallel Activities ? I once piled up a lot work and later repented it so basically I had to attend my Golf lessons 8AM-10AM then come back, have my breakfast and then prepare for a Olympiad I was selected for. Then Go out with my family can't ignore that cause Mom-dad think that I'm too secluded followed by Completing Some unattended stuff. Might sound lame but, I'm a easy going person so...everything was easy-peasy to me",What do you a the relationship?
"I an not a kind of person who would stay calm in my room. I would first like to make something for myself and try hard to impact the world around me. I always dream too high, constantly push my boundaries, so I feel I would really make me an asset for the organisation.",Are you a good in the projects?
I will try to give my 100 for this job. I will use this opportunity to learn things and make use of it to provide best results for this company. I will try to be friendly with everyone and motivate them to work together to complete the task given to the team.,Are you a good in the projects?
Coding and Cricket are the only two passions that i have.,Do do you a a PhD?
"According to me, I can handle pressure well. It doesn't affect my performance at all, and in fact it will bring out a fighter out of me to finish the challenge in a better, optimized way. Also, my brain and body will tune into the work mode just according to how my time I am left with and also based upon the deadline. I am very adaptable person, so I can adapt to any situation very easily.",Are you a a confidence? person?
Yes. I have good career and happy with where my current position,What do you a money?
"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",What do you handle the line?
